model,model_size_in_mb,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff
gc_efficientnetv2_rw_t.agc_in1k,55.5,87.717,12.283,97.803,2.197,13.68,288,1.0,bicubic,5.261,1.507
maxvit_rmlp_nano_rw_256.sw_in1k,62.2,87.715,12.285,97.577,2.423,15.50,256,0.95,bicubic,4.761,1.311
resnetv2_101x1_bit.goog_in21k_ft_in1k,178.0,87.683,12.317,97.94,2.06,44.54,448,1.0,bilinear,5.341,1.42
rexnet_300.nav_in1k,139.0,87.683,12.317,97.611,2.389,34.71,224,0.875,bicubic,4.909,1.373
swin_small_patch4_window7_224.ms_in1k,200.0,87.662,12.338,97.568,2.432,49.61,224,0.9,bicubic,4.454,1.252
efficientnetv2_rw_t.ra2_in1k,55.3,87.651,12.349,97.69,2.31,13.65,288,1.0,bicubic,5.301,1.498
twins_svt_base.in1k,224.0,87.651,12.349,97.525,2.474,56.07,224,0.9,bicubic,4.531,1.111
mobilevitv2_150.cvnets_in22k_ft_in1k_384,42.6,87.649,12.351,97.647,2.353,10.59,384,1.0,bicubic,5.063,1.333
coat_small.in1k,86.9,87.647,12.354,97.53,2.47,21.69,224,0.9,bicubic,5.285,1.322
fastvit_sa24.apple_in1k,86.8,87.638,12.362,97.726,2.274,21.55,256,0.9,bicubic,4.96,1.454
maxxvitv2_nano_rw_256.sw_in1k,94.9,87.638,12.362,97.525,2.474,23.70,256,0.95,bicubic,4.528,1.201
efficientvit_b2.r256_in1k,97.6,87.638,12.362,97.453,2.547,24.33,256,1.0,bicubic,4.948,1.359
pnasnet5large.tf_in1k,345.0,87.636,12.364,97.487,2.513,86.06,331,0.911,bicubic,4.854,1.447
resnet101.a1h_in1k,179.0,87.634,12.366,97.558,2.442,44.55,288,1.0,bicubic,4.856,1.248
resnetaa50d.sw_in12k_ft_in1k,103.0,87.623,12.377,97.803,2.197,25.58,288,1.0,bicubic,5.023,1.305
cs3edgenet_x.c2_in1k,192.0,87.621,12.379,97.654,2.346,47.82,288,1.0,bicubic,4.913,1.284
flexivit_small.300ep_in1k,91.6,87.621,12.379,97.613,2.387,22.06,240,0.95,bicubic,5.443,1.575
xcit_medium_24_p8_224.fb_in1k,338.0,87.612,12.388,97.201,2.799,84.32,224,1.0,bicubic,3.866,0.491
swinv2_tiny_window16_256.ms_in1k,119.0,87.61,12.39,97.56,2.44,28.35,256,0.9,bicubic,4.806,1.324
resnext101_32x16d.fb_swsl_ig1b_ft_in1k,778.0,87.606,12.394,97.816,2.184,194.03,224,0.875,bilinear,4.27,0.97
resnext50_32x4d.fb_swsl_ig1b_ft_in1k,100.0,87.6,12.4,97.649,2.351,25.03,224,0.875,bilinear,5.428,1.425
nest_base_jx.goog_in1k,271.0,87.597,12.403,97.521,2.479,67.72,224,0.875,bicubic,4.063,1.147
maxvit_nano_rw_256.sw_in1k,62.0,87.595,12.405,97.519,2.481,15.45,256,0.95,bicubic,4.667,1.299
tf_efficientnet_b4.in1k,78.1,87.585,12.415,97.602,2.398,19.34,380,0.922,bicubic,4.977,1.85
davit_tiny.msft_in1k,114.0,87.565,12.435,97.585,2.415,28.36,224,0.95,bicubic,4.869,1.311
levit_384.fb_dist_in1k,157.0,87.563,12.437,97.538,2.462,39.13,224,0.9,bicubic,4.967,1.52
levit_conv_384.fb_dist_in1k,157.0,87.561,12.439,97.538,2.462,39.13,224,0.9,bicubic,4.971,1.522
sequencer2d_m.in1k,153.0,87.559,12.441,97.581,2.419,38.31,224,0.875,bicubic,4.747,1.307
convnextv2_nano.fcmae_ft_in1k,62.6,87.553,12.447,97.666,2.334,15.62,288,1.0,bicubic,5.067,1.44
tf_efficientnet_b2.ns_jft_in1k,36.9,87.553,12.447,97.626,2.374,9.11,260,0.89,bicubic,5.175,1.372
ecaresnet50t.ra2_in1k,103.0,87.544,12.456,97.649,2.351,25.57,320,0.95,bicubic,5.192,1.509
regnetx_320.tv2_in1k,432.0,87.538,12.462,97.564,2.436,107.81,224,0.965,bicubic,4.728,1.356
vit_base_patch32_clip_224.laion2b_ft_in1k,353.0,87.529,12.471,97.547,2.453,88.22,224,0.9,bicubic,4.947,1.347
efficientformerv2_s2.snap_dist_in1k,51.7,87.516,12.484,97.615,2.385,12.71,224,0.95,bicubic,5.35,1.705
inception_next_tiny.sail_in1k,112.0,87.516,12.484,97.549,2.451,28.06,224,0.875,bicubic,5.038,1.527
coatnet_bn_0_rw_224.sw_in1k,110.0,87.508,12.492,97.551,2.449,27.44,224,0.95,bicubic,5.108,1.365
vit_base_patch16_rpn_224.sw_in1k,346.0,87.504,12.496,97.489,2.511,86.54,224,0.9,bicubic,5.302,1.493
pvt_v2_b2_li.in1k,90.3,87.501,12.499,97.47,2.53,22.55,224,0.9,bicubic,5.307,1.378
resnetv2_152x2_bit.goog_teacher_in21k_ft_in1k,946.0,87.495,12.505,97.818,2.182,236.34,224,0.875,bicubic,4.619,1.236
edgenext_small.usi_in1k,22.4,87.493,12.507,97.587,2.413,5.59,320,1.0,bicubic,5.929,1.875
nest_small_jx.goog_in1k,154.0,87.493,12.507,97.513,2.487,38.35,224,0.875,bicubic,4.369,1.193
vit_relpos_base_patch16_clsgap_224.sw_in1k,346.0,87.471,12.529,97.525,2.474,86.43,224,0.9,bicubic,4.711,1.353
vit_relpos_base_patch16_224.sw_in1k,346.0,87.467,12.533,97.558,2.442,86.43,224,0.9,bicubic,4.971,1.419
regnety_080_tv.tv2_in1k,158.0,87.465,12.535,97.636,2.364,39.38,224,0.965,bicubic,4.871,1.388
fbnetv3_g.ra2_in1k,67.1,87.446,12.554,97.545,2.455,16.62,288,0.95,bilinear,5.406,1.485
resnet61q.ra2_in1k,148.0,87.439,12.561,97.598,2.402,36.85,288,1.0,bicubic,4.915,1.468
wide_resnet50_2.racm_in1k,276.0,87.437,12.563,97.543,2.458,68.88,288,0.95,bicubic,5.157,1.479
poolformerv2_m48.sail_in1k,294.0,87.435,12.565,97.421,2.579,73.35,224,1.0,bicubic,4.817,1.349
efficientnet_b3.ra2_in1k,49.5,87.433,12.567,97.679,2.321,12.23,320,1.0,bicubic,5.187,1.561
regnetx_160.tv2_in1k,218.0,87.433,12.567,97.444,2.556,54.28,224,0.965,bicubic,4.867,1.272
resnext101_64x4d.c1_in1k,335.0,87.433,12.567,97.444,2.556,83.46,288,1.0,bicubic,4.277,1.07
cait_xxs24_384.fb_dist_in1k,48.3,87.414,12.586,97.621,2.378,12.03,384,1.0,bicubic,6.442,1.981
resnet51q.ra2_in1k,143.0,87.397,12.603,97.583,2.417,35.70,288,1.0,bilinear,5.037,1.397
cs3darknet_x.c2ns_in1k,140.0,87.395,12.605,97.611,2.389,35.05,288,1.0,bicubic,5.173,1.381
cs3sedarknet_l.c2ns_in1k,87.9,87.395,12.605,97.57,2.43,21.91,288,0.95,bicubic,5.611,1.606
coat_lite_small.in1k,79.5,87.39,12.61,97.374,2.626,19.84,224,0.9,bicubic,5.078,1.524
pvt_v2_b2.in1k,102.0,87.382,12.618,97.519,2.481,25.36,224,0.9,bicubic,5.298,1.563
tresnet_l.miil_in1k_448,225.0,87.382,12.618,97.487,2.513,55.99,448,0.875,bilinear,5.106,1.509
resnetv2_50d_gn.ah_in1k,102.0,87.38,12.62,97.536,2.464,25.57,288,1.0,bicubic,5.422,1.608
sequencer2d_s.in1k,111.0,87.377,12.623,97.387,2.613,27.65,224,0.875,bicubic,5.037,1.359
swinv2_cr_small_224.sw_in1k,199.0,87.377,12.623,97.346,2.654,49.70,224,0.9,bicubic,4.242,1.238
xcit_tiny_24_p8_224.fb_in1k,48.7,87.373,12.627,97.626,2.374,12.11,224,1.0,bicubic,5.481,1.656
fastvit_sa12.apple_dist_in1k,46.7,87.363,12.637,97.493,2.507,11.58,256,0.9,bicubic,5.509,1.783
vit_relpos_medium_patch16_cls_224.sw_in1k,155.0,87.363,12.637,97.451,2.549,38.76,224,0.9,bicubic,4.791,1.383
nasnetalarge.tf_in1k,356.0,87.36,12.64,97.417,2.583,88.75,331,0.911,bicubic,4.734,1.375
seresnext50_32x4d.racm_in1k,111.0,87.356,12.644,97.617,2.383,27.56,288,0.95,bicubic,5.16,1.469
crossvit_18_dagger_240.in1k,177.0,87.35,12.65,97.453,2.547,44.27,240,0.875,bicubic,4.832,1.385
repvit_m3.dist_in1k,43.4,87.326,12.674,97.481,2.519,10.68,224,0.95,bicubic,5.824,1.913
ecaresnet50d.miil_in1k,103.0,87.322,12.678,97.666,2.334,25.58,288,0.95,bicubic,5.672,1.784
wide_resnet101_2.tv2_in1k,508.0,87.322,12.678,97.404,2.596,126.89,224,0.965,bilinear,4.82,1.388
resnext101_32x8d.tv2_in1k,356.0,87.318,12.682,97.56,2.44,88.79,224,0.965,bilinear,4.486,1.328
crossvit_18_240.in1k,173.0,87.318,12.682,97.487,2.513,43.27,240,0.875,bicubic,4.918,1.427
focalnet_tiny_srf.ms_in1k,114.0,87.301,12.699,97.414,2.586,28.43,224,0.9,bicubic,5.163,1.446
resnest101e.in1k,194.0,87.288,12.712,97.562,2.438,48.28,256,0.875,bilinear,4.404,1.24
gcvit_xtiny.in1k,,87.279,12.721,97.478,2.522,19.98,224,0.875,bicubic,5.325,1.513
tiny_vit_11m_224.in1k,44.1,87.277,12.723,97.487,2.513,11.00,224,0.95,bicubic,5.785,1.625
coatnet_rmlp_nano_rw_224.sw_in1k,60.7,87.277,12.723,97.447,2.554,15.15,224,0.9,bicubic,5.227,1.569
ecaresnet101d_pruned.miil_in1k,99.9,87.269,12.731,97.713,2.287,24.88,288,0.95,bicubic,5.271,1.553
vit_relpos_medium_patch16_rpn_224.sw_in1k,155.0,87.269,12.731,97.447,2.554,38.73,224,0.9,bicubic,4.959,1.475
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,114.0,87.249,12.751,97.782,2.218,28.29,224,0.9,bicubic,6.281,1.768
resnetrs101.tf_in1k,255.0,87.241,12.759,97.455,2.545,63.62,288,0.94,bicubic,4.957,1.441
coatnext_nano_rw_224.sw_in1k,58.9,87.239,12.761,97.543,2.458,14.70,224,0.9,bicubic,5.297,1.627
poolformer_m48.sail_in1k,294.0,87.237,12.763,97.318,2.682,73.47,224,0.95,bicubic,4.755,1.352
regnety_160.tv2_in1k,335.0,87.232,12.768,97.461,2.539,83.59,224,0.965,bicubic,4.586,1.247
mixer_b16_224.miil_in21k_ft_in1k,240.0,87.23,12.77,97.414,2.586,59.88,224,0.875,bilinear,4.924,1.694
tresnet_xl.miil_in1k,315.0,87.23,12.77,97.397,2.603,78.44,224,0.875,bilinear,5.156,1.469
xcit_tiny_12_p8_224.fb_dist_in1k,27.0,87.224,12.776,97.449,2.551,6.71,224,1.0,bicubic,6.012,1.847
xcit_tiny_12_p16_384.fb_dist_in1k,27.0,87.209,12.791,97.466,2.534,6.72,384,1.0,bicubic,6.271,2.052
convit_base.fb_in1k,346.0,87.209,12.791,97.284,2.716,86.54,224,0.875,bicubic,4.919,1.348
resnetv2_50d_evos.ah_in1k,102.0,87.205,12.795,97.421,2.579,25.59,288,1.0,bicubic,5.203,1.521
resnet152.tv2_in1k,242.0,87.188,12.812,97.387,2.613,60.19,224,0.965,bilinear,4.901,1.383
tf_efficientnet_b3.ap_in1k,49.5,87.188,12.812,97.382,2.618,12.23,300,0.904,bicubic,5.368,1.756
vit_base_patch32_clip_224.openai_ft_in1k,353.0,87.179,12.821,97.466,2.534,88.22,224,0.9,bicubic,5.249,1.5
visformer_small.in1k,161.0,87.179,12.821,97.323,2.677,40.22,224,0.9,bicubic,5.073,1.445
vit_srelpos_medium_patch16_224.sw_in1k,155.0,87.177,12.823,97.31,2.69,38.74,224,0.9,bicubic,4.937,1.368
focalnet_tiny_lrf.ms_in1k,115.0,87.175,12.825,97.37,2.63,28.65,224,0.9,bicubic,5.021,1.422
crossvit_15_dagger_240.in1k,113.0,87.166,12.834,97.431,2.568,28.21,240,0.875,bicubic,4.836,1.475
convnext_tiny_hnf.a2h_in1k,114.0,87.147,12.853,97.28,2.72,28.59,288,1.0,bicubic,4.563,1.272
vit_relpos_medium_patch16_224.sw_in1k,155.0,87.145,12.855,97.5,2.5,38.75,224,0.9,bicubic,4.683,1.418
swin_s3_tiny_224.ms_in1k,116.0,87.143,12.857,97.308,2.692,28.33,224,0.9,bicubic,4.999,1.354
coatnet_0_rw_224.sw_in1k,110.0,87.128,12.872,97.233,2.767,27.44,224,0.95,bicubic,4.738,1.397
xcit_small_24_p16_224.fb_in1k,191.0,87.119,12.881,97.267,2.733,47.67,224,1.0,bicubic,4.543,1.255
repvit_m1_1.dist_450e_in1k,35.7,87.104,12.896,97.412,2.588,8.80,224,0.95,bicubic,5.792,1.876
swinv2_tiny_window8_256.ms_in1k,115.0,87.089,12.911,97.51,2.49,28.35,256,0.9,bicubic,5.269,1.516
pit_s_distilled_224.in1k,96.2,87.081,12.919,97.363,2.637,24.04,224,0.9,bicubic,5.267,1.633
efficientvit_b2.r224_in1k,97.6,87.081,12.919,97.203,2.797,24.33,224,0.95,bicubic,4.933,1.497
ecaresnet50t.a1_in1k,103.0,87.081,12.919,97.122,2.878,25.57,288,1.0,bicubic,4.953,1.48
mobilevitv2_200.cvnets_in22k_ft_in1k,74.0,87.057,12.943,97.431,2.568,18.45,256,0.888,bicubic,4.725,1.49
resnext50_32x4d.a1h_in1k,100.0,87.057,12.943,97.331,2.669,25.03,288,1.0,bicubic,5.043,1.397
xception41p.ra3_in1k,108.0,87.051,12.949,97.201,2.799,26.91,299,0.94,bicubic,5.079,1.417
regnetz_b16.ra3_in1k,39.2,87.047,12.953,97.412,2.588,9.72,288,1.0,bicubic,6.319,1.894
crossvit_15_240.in1k,110.0,87.042,12.958,97.423,2.577,27.53,240,0.875,bicubic,5.506,1.687
convit_small.fb_in1k,111.0,87.042,12.958,97.35,2.65,27.78,224,0.875,bicubic,5.622,1.606
tf_efficientnetv2_b3.in1k,58.1,87.027,12.973,97.301,2.699,14.36,300,0.904,bicubic,5.055,1.499
gcresnet50t.ra2_in1k,104.0,87.025,12.975,97.391,2.609,25.90,288,1.0,bicubic,5.569,1.673
xcit_small_12_p16_224.fb_in1k,105.0,87.01,12.99,97.242,2.759,26.25,224,1.0,bicubic,5.04,1.43
nest_tiny_jx.goog_in1k,68.3,87.008,12.992,97.378,2.622,17.06,224,0.875,bicubic,5.582,1.76
poolformerv2_m36.sail_in1k,224.0,87.008,12.992,97.284,2.716,56.08,224,1.0,bicubic,4.792,1.36
deit3_small_patch16_224.fb_in1k,88.3,87.008,12.992,97.171,2.829,22.06,224,0.9,bicubic,5.638,1.715
deit_small_distilled_patch16_224.fb_in1k,89.8,87.004,12.996,97.323,2.677,22.44,224,0.9,bicubic,5.788,1.699
swinv2_cr_tiny_ns_224.sw_in1k,113.0,87.002,12.998,97.28,2.72,28.33,224,0.9,bicubic,5.2,1.462
resnet101.a1_in1k,179.0,87.0,13.0,96.96,3.04,44.55,288,1.0,bicubic,4.678,1.328
resnet152.a2_in1k,242.0,86.995,13.005,96.923,3.077,60.19,288,1.0,bicubic,4.387,0.795
coatnet_nano_rw_224.sw_in1k,60.7,86.993,13.007,97.248,2.752,15.14,224,0.9,bicubic,5.297,1.602
resmlp_36_224.fb_distilled_in1k,179.0,86.987,13.013,97.276,2.724,44.69,224,0.875,bicubic,5.839,1.798
poolformer_m36.sail_in1k,225.0,86.955,13.045,97.141,2.859,56.17,224,0.95,bicubic,4.853,1.443
mobilevitv2_175.cvnets_in22k_ft_in1k,57.2,86.951,13.05,97.335,2.665,14.25,256,0.888,bicubic,5.013,1.545
regnety_032.tv2_in1k,78.2,86.942,13.058,97.41,2.59,19.44,224,0.965,bicubic,5.186,1.566
resnet101.a2_in1k,179.0,86.942,13.058,96.99,3.01,44.55,288,1.0,bicubic,4.706,1.26
xcit_large_24_p16_224.fb_in1k,757.0,86.942,13.058,96.921,3.079,189.10,224,1.0,bicubic,4.04,1.037
resnet101.tv2_in1k,179.0,86.936,13.065,97.248,2.752,44.55,224,0.965,bilinear,5.047,1.48
xcit_medium_24_p16_224.fb_in1k,338.0,86.933,13.067,97.103,2.897,84.40,224,1.0,bicubic,4.293,1.121
resnetv2_50.a1h_in1k,102.0,86.929,13.071,97.34,2.66,25.55,288,1.0,bicubic,5.531,1.614
poolformerv2_s36.sail_in1k,123.0,86.921,13.079,97.353,2.647,30.79,224,1.0,bicubic,5.355,1.663
tnt_s_patch16_224,,86.914,13.086,97.361,2.639,23.76,224,0.9,bicubic,5.378,1.671
vit_relpos_small_patch16_224.sw_in1k,88.0,86.891,13.109,97.489,2.511,21.98,224,0.9,bicubic,5.429,1.669
vit_small_patch16_224.augreg_in21k_ft_in1k,88.3,86.871,13.129,97.609,2.391,22.05,224,0.9,bicubic,5.486,1.473
vit_small_r26_s32_224.augreg_in21k_ft_in1k,146.0,86.856,13.143,97.53,2.47,36.43,224,0.9,bicubic,4.992,1.508
resnet152.a1_in1k,242.0,86.856,13.143,96.793,3.207,60.19,288,1.0,bicubic,4.124,1.073
ecaresnetlight.miil_in1k,121.0,86.852,13.148,97.508,2.492,30.16,288,0.95,bicubic,5.444,1.692
resnext101_32x16d.fb_ssl_yfcc100m_ft_in1k,778.0,86.848,13.152,97.521,2.479,194.03,224,0.875,bilinear,5.01,1.429
convmixer_1536_20.in1k,207.0,86.84,13.161,97.355,2.645,51.63,224,0.96,bicubic,5.478,1.741
tf_efficientnet_b3.aa_in1k,49.5,86.84,13.161,97.297,2.703,12.23,300,0.904,bicubic,5.2,1.575
rexnet_200.nav_in1k,65.9,86.84,13.161,97.276,2.724,16.37,224,0.875,bicubic,5.204,1.61
resnet50.fb_swsl_ig1b_ft_in1k,103.0,86.827,13.173,97.493,2.507,25.56,224,0.875,bilinear,5.655,1.507
repvit_m1_1.dist_300e_in1k,35.7,86.827,13.173,97.318,2.682,8.80,224,0.95,bicubic,6.001,2.148
deit_base_patch16_224.fb_in1k,346.0,86.827,13.173,97.052,2.949,86.57,224,0.9,bicubic,4.835,1.316
tresnet_m.miil_in1k_448,126.0,86.816,13.184,97.216,2.784,31.39,448,0.875,bilinear,5.106,1.642
tf_efficientnet_lite4.in1k,52.7,86.799,13.201,97.265,2.735,13.01,380,0.92,bilinear,5.269,1.601
coat_mini.in1k,41.5,86.799,13.201,97.156,2.844,10.34,224,0.9,bicubic,5.529,1.774
resnext101_32x8d.fb_ssl_yfcc100m_ft_in1k,356.0,86.795,13.205,97.472,2.528,88.79,224,0.875,bilinear,5.189,1.432
eva02_tiny_patch14_336.mim_in22k_ft_in1k,23.1,86.784,13.216,97.269,2.731,5.76,336,1.0,bicubic,6.154,1.743
seresnet50.ra2_in1k,113.0,86.778,13.223,97.361,2.639,28.09,288,0.95,bicubic,5.493,1.709
vit_base_patch16_224.orig_in21k_ft_in1k,346.0,86.773,13.227,97.442,2.558,86.57,224,0.9,bicubic,4.983,1.316
convnextv2_pico.fcmae_ft_in1k,36.3,86.773,13.227,97.331,2.669,9.07,288,0.95,bicubic,5.687,1.851
regnetx_080.tv2_in1k,159.0,86.771,13.229,97.197,2.803,39.57,224,0.965,bicubic,5.231,1.655
cs3darknet_l.c2ns_in1k,84.9,86.767,13.233,97.459,2.541,21.16,288,0.95,bicubic,5.871,1.797
resnetaa50.a1h_in1k,103.0,86.765,13.235,97.391,2.609,25.56,288,1.0,bicubic,5.151,1.589
tresnet_l.miil_in1k,225.0,86.763,13.237,97.273,2.727,55.99,224,0.875,bilinear,5.283,1.65
resnet50d.ra2_in1k,103.0,86.76,13.239,97.372,2.628,25.58,288,0.95,bicubic,5.404,1.634
ese_vovnet39b.ra_in1k,98.4,86.756,13.244,97.372,2.628,24.57,288,0.95,bicubic,6.406,2.006
twins_svt_small.in1k,96.3,86.752,13.248,97.18,2.82,24.06,224,0.9,bicubic,5.076,1.522
resnet50_gn.a1h_in1k,102.0,86.75,13.25,97.449,2.551,25.56,288,0.95,bicubic,5.534,2.065
tiny_vit_5m_224.dist_in22k_ft_in1k,21.7,86.748,13.252,97.316,2.684,5.39,224,0.95,bicubic,5.872,1.652
seresnet50.a1_in1k,113.0,86.746,13.255,96.951,3.049,28.09,288,1.0,bicubic,5.644,1.623
mobilevitv2_150.cvnets_in22k_ft_in1k,42.6,86.743,13.257,97.214,2.786,10.59,256,0.888,bicubic,5.255,1.546
fastvit_s12.apple_dist_in1k,38.3,86.741,13.259,97.207,2.793,9.47,256,0.9,bicubic,5.671,1.923
crossvit_base_240.in1k,420.0,86.733,13.267,97.122,2.878,105.03,240,0.875,bicubic,4.519,1.288
levit_256.fb_dist_in1k,76.0,86.731,13.269,97.254,2.746,18.89,224,0.9,bicubic,5.207,1.76
levit_conv_256.fb_dist_in1k,76.0,86.726,13.274,97.256,2.744,18.89,224,0.9,bicubic,5.204,1.766
ecaresnet50t.a2_in1k,103.0,86.726,13.274,97.081,2.919,25.57,288,1.0,bicubic,5.068,1.531
cs3darknet_focus_l.c2ns_in1k,84.8,86.722,13.278,97.376,2.624,21.15,288,0.95,bicubic,5.846,1.694
convnext_nano_ols.d1h_in1k,62.7,86.718,13.282,97.047,2.953,15.65,288,1.0,bicubic,5.118,1.411
vit_srelpos_small_patch16_224.sw_in1k,88.0,86.707,13.293,97.252,2.748,21.97,224,0.9,bicubic,5.615,1.682
resnet50.ram_in1k,103.0,86.699,13.301,97.199,2.801,25.56,288,0.95,bicubic,6.723,2.147
crossvit_small_240.in1k,108.0,86.686,13.314,97.276,2.724,26.86,240,0.875,bicubic,5.668,1.82
halo2botnet50ts_256.a1h_in1k,90.9,86.686,13.314,97.098,2.902,22.64,256,0.95,bicubic,4.626,1.464
pit_b_224.in1k,295.0,86.686,13.314,96.894,3.107,73.76,224,0.9,bicubic,4.248,1.18
resnet50d.a1_in1k,103.0,86.671,13.329,96.693,3.307,25.58,288,1.0,bicubic,5.221,1.475
ecaresnet50d_pruned.miil_in1k,80.0,86.669,13.331,97.429,2.571,19.94,288,0.95,bicubic,5.879,1.859
tf_efficientnet_b1.ns_jft_in1k,31.6,86.669,13.331,97.382,2.618,7.79,240,0.882,bicubic,5.281,1.644
swin_tiny_patch4_window7_224.ms_in1k,114.0,86.658,13.342,97.203,2.797,28.29,224,0.9,bicubic,5.282,1.659
poolformer_s36.sail_in1k,124.0,86.654,13.346,97.152,2.848,30.86,224,0.9,bicubic,5.224,1.708
gernet_l.idstcv_in1k,125.0,86.643,13.357,97.188,2.812,31.08,256,0.875,bilinear,5.289,1.658
efficientnet_el.ra_in1k,42.9,86.63,13.37,97.19,2.81,10.59,300,0.904,bicubic,5.318,1.7
twins_pcpvt_small.in1k,96.5,86.622,13.378,97.344,2.656,24.11,224,0.9,bicubic,5.53,1.696
repvit_m2.dist_in1k,35.7,86.615,13.385,97.207,2.793,8.80,224,0.95,bicubic,6.155,2.039
resmlp_24_224.fb_distilled_in1k,120.0,86.615,13.385,97.137,2.863,30.02,224,0.875,bicubic,5.859,1.913
gcresnext50ts.ch_in1k,63.1,86.609,13.391,97.188,2.812,15.67,288,1.0,bicubic,5.379,1.646
resnet50.c2_in1k,103.0,86.605,13.395,97.338,2.662,25.56,288,1.0,bicubic,5.735,1.804
nf_resnet50.ra2_in1k,102.0,86.592,13.408,97.295,2.705,25.56,288,0.94,bicubic,5.952,1.961
resnest50d_4s2x40d.in1k,122.0,86.588,13.412,97.267,2.733,30.42,224,0.875,bicubic,5.468,1.707
sebotnet33ts_256.a1h_in1k,55.0,86.585,13.415,96.793,3.207,13.70,256,0.94,bicubic,5.417,1.625
efficientnet_b3_pruned.in1k,39.8,86.579,13.421,97.184,2.816,9.86,300,0.904,bicubic,5.727,1.94
repvgg_b3.rvgg_in1k,493.0,86.579,13.421,97.139,2.861,123.09,224,0.875,bilinear,6.073,1.885
wide_resnet50_2.tv2_in1k,276.0,86.566,13.434,97.248,2.752,68.88,224,0.965,bilinear,4.96,1.488
sehalonet33ts.ra2_in1k,55.0,86.566,13.434,97.004,2.995,13.69,256,0.94,bicubic,5.608,1.732
fastvit_sa12.apple_in1k,46.7,86.564,13.436,97.233,2.767,11.58,256,0.9,bicubic,5.72,1.893
resnet50.a1_in1k,103.0,86.541,13.459,96.838,3.162,25.56,288,1.0,bicubic,5.327,1.736
repvit_m1_0.dist_450e_in1k,29.7,86.538,13.462,97.098,2.902,7.30,224,0.95,bicubic,6.104,2.18
resnet50.c1_in1k,103.0,86.536,13.464,97.235,2.765,25.56,288,1.0,bicubic,5.624,1.683
convnext_nano.d1h_in1k,62.4,86.536,13.464,97.182,2.818,15.59,288,1.0,bicubic,5.054,1.524
xcit_tiny_24_p16_224.fb_dist_in1k,48.7,86.534,13.466,97.218,2.782,12.12,224,1.0,bicubic,6.08,2.0
seresnet50.a2_in1k,113.0,86.519,13.481,96.987,3.013,28.09,288,1.0,bicubic,5.413,1.765
vit_small_patch16_384.augreg_in1k,88.8,86.496,13.504,97.182,2.818,22.20,384,1.0,bicubic,5.38,1.608
halonet50ts.a1h_in1k,91.3,86.487,13.513,97.148,2.852,22.73,256,0.94,bicubic,4.825,1.538
resnext101_32x4d.fb_ssl_yfcc100m_ft_in1k,177.0,86.483,13.517,97.474,2.526,44.18,224,0.875,bilinear,5.559,1.74
maxvit_rmlp_pico_rw_256.sw_in1k,30.4,86.481,13.519,97.201,2.799,7.52,256,0.95,bicubic,5.967,1.987
haloregnetz_b.ra3_in1k,47.1,86.466,13.534,96.947,3.053,11.68,224,0.94,bicubic,5.42,1.747
resnet152s.gluon_in1k,242.0,86.464,13.536,97.109,2.891,60.32,224,0.875,bicubic,5.456,1.693
seresnet33ts.ra2_in1k,79.4,86.462,13.538,97.19,2.81,19.78,288,1.0,bicubic,5.678,1.828
repvit_m1_0.dist_300e_in1k,29.7,86.457,13.543,97.054,2.946,7.30,224,0.95,bicubic,6.331,2.31
mobilevitv2_200.cvnets_in1k,74.0,86.457,13.543,96.97,3.03,18.45,256,0.888,bicubic,5.323,1.608
resnext50d_32x4d.bt_in1k,101.0,86.455,13.545,97.165,2.835,25.05,288,0.95,bicubic,5.791,1.745
resnet50.d_in1k,103.0,86.455,13.545,97.056,2.944,25.56,288,1.0,bicubic,5.483,1.626
resnetv2_50x1_bit.goog_in21k_ft_in1k,102.0,86.44,13.56,97.605,2.396,25.55,448,1.0,bilinear,6.098,1.922
resnet50.tv2_in1k,103.0,86.44,13.56,97.145,2.855,25.56,224,0.965,bilinear,5.592,1.711
resnet50.b1k_in1k,103.0,86.438,13.562,97.235,2.765,25.56,288,1.0,bicubic,5.732,1.803
resnest50d_1s4x24d.in1k,103.0,86.432,13.568,97.152,2.848,25.68,224,0.875,bicubic,5.444,1.826
poolformerv2_s24.sail_in1k,85.4,86.389,13.611,97.15,2.85,21.34,224,1.0,bicubic,5.641,1.84
regnety_016.tv2_in1k,45.2,86.372,13.628,97.188,2.812,11.20,224,0.965,bicubic,5.706,1.858
repvgg_b3g4.rvgg_in1k,336.0,86.368,13.632,97.047,2.953,83.83,224,0.875,bilinear,6.152,1.955
darknetaa53.c2ns_in1k,144.0,86.359,13.641,97.165,2.835,36.02,288,1.0,bilinear,5.853,1.843
efficientformer_l1.snap_dist_in1k,49.4,86.357,13.643,97.019,2.981,12.29,224,0.95,bicubic,5.859,2.031
darknet53.c2ns_in1k,167.0,86.35,13.649,97.13,2.869,41.61,288,1.0,bicubic,5.819,1.698
lamhalobotnet50ts_256.a1h_in1k,90.6,86.35,13.649,97.041,2.959,22.57,256,0.95,bicubic,4.798,1.549
fastvit_t12.apple_dist_in1k,30.6,86.344,13.656,97.098,2.902,7.55,256,0.9,bicubic,5.992,2.056
legacy_senet154.in1k,,86.344,13.656,96.934,3.066,115.09,224,0.875,bilinear,5.032,1.374
