model,model_size_in_mb,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff
regnety_160.lion_in12k_ft_in1k,335.0,89.726,10.274,98.608,1.392,83.59,288,1.0,bicubic,3.738,0.774
caformer_s18.sail_in22k_ft_in1k_384,105.0,89.72,10.28,98.578,1.422,26.34,384,1.0,bicubic,4.306,0.876
vit_base_patch8_224.augreg2_in21k_ft_in1k,346.0,89.718,10.283,98.51,1.49,86.58,224,0.9,bicubic,3.499,0.678
convformer_m36.sail_in1k_384,228.0,89.718,10.283,98.435,1.565,57.05,384,1.0,bicubic,4.138,0.893
vit_base_patch16_clip_384.openai_ft_in1k,347.0,89.707,10.293,98.508,1.492,86.86,384,1.0,bicubic,3.501,0.632
caformer_s36.sail_in22k_ft_in1k,157.0,89.701,10.3,98.638,1.362,39.30,224,1.0,bicubic,3.91,0.812
volo_d1_384.sail_in1k,107.0,89.698,10.302,98.29,1.71,26.78,384,1.0,bicubic,4.454,1.096
deit3_large_patch16_384.fb_in1k,1249.28,89.688,10.312,98.39,1.61,304.76,384,1.0,bicubic,3.876,0.792
caformer_s36.sail_in1k_384,157.0,89.679,10.321,98.324,1.676,39.30,384,1.0,bicubic,3.937,0.652
xcit_large_24_p16_384.fb_dist_in1k,757.0,89.662,10.338,98.403,1.597,189.10,384,1.0,bicubic,3.908,0.865
convformer_b36.sail_in1k_384,400.0,89.658,10.342,98.379,1.621,99.88,384,1.0,bicubic,3.918,0.855
tf_efficientnet_b5.ns_jft_in1k,123.0,89.651,10.349,98.486,1.514,30.39,456,0.934,bicubic,3.563,0.73
dm_nfnet_f3.dm_in1k,1044.48,89.647,10.353,98.463,1.537,254.92,416,0.94,bicubic,3.961,0.893
convnext_base.clip_laion2b_augreg_ft_in1k,354.0,89.645,10.355,98.463,1.537,88.59,256,1.0,bicubic,3.487,0.783
regnety_2560.seer_ft_in1k,5253.12,89.632,10.368,98.399,1.601,"1,282.60",384,1.0,bicubic,4.482,0.961
convnext_small.in12k_ft_in1k_384,201.0,89.598,10.402,98.48,1.52,50.22,384,1.0,bicubic,3.416,0.558
maxvit_base_tf_384.in1k,480.0,89.589,10.411,98.32,1.68,119.65,384,1.0,bicubic,3.287,0.522
tf_efficientnet_b8.ap_in1k,352.0,89.579,10.421,98.305,1.695,87.41,672,0.954,bicubic,4.215,1.013
regnety_160.sw_in12k_ft_in1k,335.0,89.57,10.43,98.546,1.454,83.59,288,1.0,bicubic,3.584,0.712
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,346.0,89.566,10.434,98.42,1.58,86.57,224,0.95,bicubic,3.396,0.664
maxvit_tiny_tf_512.in1k,125.0,89.562,10.438,98.335,1.665,31.05,512,1.0,bicubic,3.898,0.751
convformer_s18.sail_in22k_ft_in1k_384,107.0,89.553,10.447,98.531,1.469,26.77,384,1.0,bicubic,4.555,0.961
volo_d3_224.sail_in1k,345.0,89.553,10.447,98.373,1.627,86.33,224,0.96,bicubic,4.139,1.097
maxvit_large_tf_384.in1k,849.0,89.553,10.447,98.185,1.815,212.03,384,1.0,bicubic,3.323,0.497
