vit_base_patch16_clip_224.laion2b_ft_in1k,346 MB
tf_efficientnet_b7.ap_in1k,267 MB
convnextv2_base.fcmae_ft_in1k,355 MB
caformer_b36.sail_in1k,395 MB
vit_base_patch16_clip_224.openai_ft_in12k_in1k,346 MB
hrnet_w48_ssld.paddle_in1k,311 MB
beit_base_patch16_224.in22k_ft_in22k_in1k,350 MB
regnetz_e8.ra3_in1k,232 MB
deit3_small_patch16_384.fb_in22k_ft_in1k,88.9 MB
tf_efficientnetv2_m.in1k,218 MB
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,156 MB
tf_efficientnet_b8.ra_in1k,352 MB
tf_efficientnet_b6.ap_in1k,173 MB
volo_d2_224.sail_in1k,235 MB
eva02_small_patch14_336.mim_in22k_ft_in1k,88.6 MB
caformer_s18.sail_in1k_384,105 MB
vit_large_patch16_224.augreg_in21k_ft_in1k,1.22 GB
flexivit_large.300ep_in1k,1.23 GB
tf_efficientnet_b4.ns_jft_in1k,78.1 MB
convnext_small.fb_in22k_ft_in1k,201 MB
xcit_small_24_p16_384.fb_dist_in1k,191 MB
xcit_medium_24_p8_224.fb_dist_in1k,338 MB
beitv2_base_patch16_224.in1k_ft_in1k,350 MB
deit3_huge_patch14_224.fb_in1k,2.53 GB
coat_lite_medium_384.in1k,178 MB
xcit_small_24_p8_224.fb_dist_in1k,191 MB
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,353 MB
dm_nfnet_f2.dm_in1k,775 MB
xcit_small_12_p16_384.fb_dist_in1k,105 MB
swin_base_patch4_window7_224.ms_in22k_ft_in1k,353 MB
vit_base_patch16_clip_224.openai_ft_in1k,346 MB
eca_nfnet_l2.ra3_in1k,227 MB
cait_xs24_384.fb_dist_in1k,107 MB
fastvit_ma36.apple_dist_in1k,177 MB
convformer_s18.sail_in1k_384,107 MB
maxvit_tiny_tf_384.in1k,124 MB
maxvit_small_tf_384.in1k,277 MB
resnext101_32x32d.fb_wsl_ig1b_ft_in1k,1.88 GB
tf_efficientnet_b7.ra_in1k,267 MB
tiny_vit_21m_224.dist_in22k_ft_in1k,85 MB
ecaresnet269d.ra2_in1k,410 MB
regnety_1280.seer_ft_in1k,2.58 GB
vit_base_patch32_clip_384.openai_ft_in12k_in1k,353 MB
xcit_large_24_p16_224.fb_dist_in1k,757 MB
convnext_small.in12k_ft_in1k,201 MB
resmlp_big_24_224.fb_in22k_ft_in1k,517 MB
dm_nfnet_f1.dm_in1k,531 MB
xcit_small_12_p8_224.fb_dist_in1k,105 MB
convnext_large.fb_in1k,791 MB
efficientnetv2_rw_m.agc_in1k,215 MB
caformer_m36.sail_in1k,225 MB
regnety_1280.swag_lc_in1k,2.58 GB
regnetz_d8_evos.ch_in1k,94 MB
regnetz_040_h.ra3_in1k,117 MB
edgenext_base.in21k_ft_in1k,74.1 MB
tf_efficientnet_b5.ap_in1k,123 MB
mvitv2_large.fb_in1k,872 MB
caformer_s18.sail_in22k_ft_in1k,105 MB
deit3_base_patch16_384.fb_in1k,348 MB
deit3_medium_patch16_224.fb_in22k_ft_in1k,155 MB
volo_d1_224.sail_in1k,107 MB
convnext_tiny.in12k_ft_in1k,114 MB
tf_efficientnetv2_s.in21k_ft_in1k,86.7 MB
vit_base_patch16_224.augreg_in21k_ft_in1k,346 MB
convnext_tiny.fb_in22k_ft_in1k_384,114 MB
regnetz_d8.ra3_in1k,94.1 MB
convformer_b36.sail_in1k,400 MB
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,167 MB
resnetrs420.tf_in1k,770 MB
resnext101_32x16d.fb_wsl_ig1b_ft_in1k,778 MB
resnetrs270.tf_in1k,521 MB
vit_small_r26_s32_384.augreg_in21k_ft_in1k,146 MB
swin_small_patch4_window7_224.ms_in22k_ft_in1k,200 MB
vit_base_r50_s16_384.orig_in21k_ft_in1k,396 MB
xcit_medium_24_p16_224.fb_dist_in1k,338 MB
tf_efficientnet_b7.aa_in1k,267 MB
maxxvit_rmlp_small_rw_256.sw_in1k,264 MB
fastvit_sa36.apple_dist_in1k,127 MB
seresnet152d.ra2_in1k,268 MB
xcit_tiny_24_p8_384.fb_dist_in1k,48.7 MB
convformer_m36.sail_in1k,228 MB
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,356 MB
resnetrs200.tf_in1k,374 MB
convnext_base.fb_in1k,354 MB
deit3_large_patch16_224.fb_in1k,1.22 GB
tf_efficientnet_b6.aa_in1k,173 MB
resnetrs350.tf_in1k,658 MB
rexnetr_300.sw_in12k_ft_in1k,140 MB
caformer_s36.sail_in1k,157 MB
convnextv2_tiny.fcmae_ft_in22k_in1k,115 MB
vit_base_patch16_224_miil.in21k_ft_in1k,346 MB
edgenext_base.usi_in1k,74.1 MB
regnetz_040.ra3_in1k,109 MB
convformer_s18.sail_in22k_ft_in1k,107 MB
resnetv2_152x2_bit.goog_in21k_ft_in1k,946 MB
regnety_160.deit_in1k,335 MB
davit_base.msft_in1k,352 MB
regnety_640.seer_ft_in1k,1.13 GB
regnetz_d32.ra3_in1k,111 MB
vit_small_patch16_384.augreg_in21k_ft_in1k,88.8 MB
flexivit_base.1200ep_in1k,353 MB
mvitv2_base.fb_in1k,206 MB
regnety_080.ra3_in1k,157 MB
vit_medium_patch16_gap_256.sw_in12k_ft_in1k,156 MB
davit_small.msft_in1k,199 MB
eca_nfnet_l1.ra2_in1k,166 MB
repvgg_d2se.rvgg_in1k,534 MB
maxvit_base_tf_224.in1k,479 MB
swinv2_base_window16_256.ms_in1k,357 MB
resnetaa101d.sw_in12k_ft_in1k,179 MB
regnety_320.seer_ft_in1k,581 MB
efficientvit_b3.r288_in1k,195 MB
resnetv2_152x4_bit.goog_in21k_ft_in1k,3.75 GB
resnet200d.ra2_in1k,260 MB
xcit_small_24_p16_224.fb_dist_in1k,191 MB
flexivit_base.600ep_in1k,353 MB
seresnextaa101d_32x8d.ah_in1k,375 MB
maxvit_rmlp_small_rw_224.sw_in1k,260 MB
resnest269e.in1k,446 MB
coatnet_rmlp_2_rw_224.sw_in1k,296 MB
efficientformerv2_l.snap_dist_in1k,107 MB
repvit_m2_3.dist_300e_in1k,95.9 MB
gcvit_base.in1k,Model Authorization Error
swinv2_base_window8_256.ms_in1k,354 MB
seresnext101_32x8d.ah_in1k,375 MB
repvit_m2_3.dist_450e_in1k,95.9 MB
convformer_s36.sail_in1k,160 MB
flexivit_base.300ep_in1k,353 MB
crossvit_18_dagger_408.in1k,179 MB
efficientnetv2_rw_s.ra2_in1k,96.7 MB
resnetv2_101x3_bit.goog_in21k_ft_in1k,1.55 GB
fastvit_sa24.apple_dist_in1k,86.8 MB
maxvit_large_tf_224.in1k,848 MB
maxvit_small_tf_224.in1k,276 MB
resnetv2_50x3_bit.goog_in21k_ft_in1k,869 MB
cait_s24_224.fb_dist_in1k,188 MB
resmlp_big_24_224.fb_distilled_in1k,517 MB
regnetv_064.ra3_in1k,123 MB
resnest200e.in1k,282 MB
vit_large_r50_s32_224.augreg_in21k_ft_in1k,1.32 GB
inception_next_base.sail_in1k,347 MB
tf_efficientnet_b3.ns_jft_in1k,49.5 MB
seresnext101d_32x8d.ah_in1k,375 MB
swin_base_patch4_window12_384.ms_in1k,365 MB
tf_efficientnetv2_s.in1k,86.7 MB
convnext_small.fb_in1k,201 MB
tf_efficientnet_b5.aa_in1k,123 MB
regnety_320.swag_lc_in1k,581 MB
vit_base_patch16_384.orig_in21k_ft_in1k,347 MB
regnetz_c16_evos.ch_in1k,54.1 MB
tresnet_v2_l.miil_in21k_ft_in1k,185 MB
swinv2_small_window16_256.ms_in1k,204 MB
efficientnet_b4.ra2_in1k,78.1 MB
